long,lat,rural_urban,country,haz_new_mean,waz_new_mean,bmi_adult_mean
-0.630286,5.331395,urban,Ghana,-188.5,-190.5,3425.8
-0.620846,5.348056,urban,Ghana,-90.0,-47.0,2260.6666666666665
-0.57891,6.308755,urban,Ghana,,,1832.0
-0.567755,5.57275,rural,Ghana,-13.666666666666666,53.0,2858.6666666666665
-0.564943,5.480611,rural,Ghana,-57.0,-75.4,2399.285714285714
-0.539465,5.80303,rural,Ghana,-96.5,-71.08333333333333,2341.5833333333335
-0.526861,8.463161,rural,Ghana,-107.375,-49.0,2104.9375
-0.523012,5.902272,rural,Ghana,-65.5,-93.83333333333333,2174.5
-0.508271,5.400221,urban,Ghana,-92.0,-95.2,2454.4
-0.504341,10.854313,rural,Ghana,-127.85714285714286,-131.71428571428572,2232.285714285714
-0.485131,10.928104,urban,Ghana,-16.88888888888889,-63.111111111111114,2781.222222222222
-0.478616,5.806579,urban,Ghana,-155.33333333333334,-79.33333333333333,2855.6666666666665
-0.478091,6.204261,rural,Ghana,-68.75,-75.0,2287.5
-0.476786,6.320957,rural,Ghana,-115.5,-123.83333333333333,2403.6666666666665
-0.475788,5.558925,urban,Ghana,-21.875,-42.25,2741.875
-0.471637,5.512898,urban,Ghana,-142.14285714285714,-70.28571428571429,2348.4285714285716
-0.45486,5.544503,urban,Ghana,-131.0,-131.5,2797.5
-0.448016,6.034106,urban,Ghana,13.0,-105.0,2370.5
-0.430897,8.163026,rural,Ghana,-149.875,-115.5,1951.75
-0.425483,6.258214,urban,Ghana,,,
-0.424216,6.573411,rural,Ghana,-88.28571428571429,-26.0,2324.5
-0.413996,5.503744,urban,Ghana,-43.4,-66.8,3186.625
-0.40788,11.056161,rural,Ghana,-113.53333333333333,-126.46666666666667,2053.75
-0.406674,5.541101,urban,Ghana,-55.5,0.5,2669.2
-0.400936,5.793782,rural,Ghana,-118.0,-80.0,2507.3333333333335
-0.394608,6.228707,urban,Ghana,-28.4,13.0,2416.6666666666665
-0.368014,10.485456,urban,Ghana,-128.0,-80.88888888888889,2123.0
-0.363722,6.381571,urban,Ghana,-96.0,-52.0,2829.6666666666665
-0.363479,6.05569,rural,Ghana,-58.0,6.666666666666667,2194.3333333333335
-0.351752,5.621034,rural,Ghana,-81.5,-158.5,2451.6666666666665
-0.343899,5.821611,urban,Ghana,-60.0,-11.666666666666666,2137.5
-0.33625,5.551723,urban,Ghana,-146.33333333333334,-73.33333333333333,2748.8333333333335
-0.335856,10.947618,rural,Ghana,-66.875,-121.375,2036.6
-0.326817,5.522098,urban,Ghana,-128.66666666666666,-52.333333333333336,2529.6666666666665
-0.304783,5.574962,urban,Ghana,-143.75,21.5,2609.25
-0.301361,11.103745,rural,Ghana,-132.5,-105.375,2352.1111111111113
-0.296541,5.625009,urban,Ghana,26.0,9.25,2691.875
-0.291018,5.662976,rural,Ghana,-2.3333333333333335,13.0,2843.0
-0.289417,5.637878,urban,Ghana,-45.833333333333336,-76.16666666666667,2503.0
-0.274369,10.945918,rural,Ghana,-21.5,-61.333333333333336,2137.375
-0.272668,6.099655,urban,Ghana,-58.25,-44.875,2314.8888888888887
-0.267984,5.565136,urban,Ghana,-72.0,-15.5,2439.8333333333335
-0.26139,5.525769,urban,Ghana,-70.0,-54.5,3182.5
-0.260727,6.091042,urban,Ghana,-18.0,11.0,2335.0
-0.259672,5.551625,urban,Ghana,-97.0,-21.666666666666668,2355.3333333333335
-0.258095,5.548993,urban,Ghana,-55.6,-18.6,2604.777777777778
-0.252729,5.616851,urban,Ghana,-296.5,-217.0,2067.0
-0.247692,5.58912,urban,Ghana,-26.571428571428573,-39.857142857142854,2808.25
-0.247119,5.613564,urban,Ghana,-66.6,-50.8,2576.714285714286
-0.244427,11.063808,urban,Ghana,-122.1,-107.3,2573.5454545454545
-0.244404,5.535298,urban,Ghana,-74.75,-0.75,3469.25
-0.240514,5.56768,urban,Ghana,,,
-0.238606,11.059393,urban,Ghana,-98.0,-126.0,1802.0
-0.238301,5.610668,urban,Ghana,9.0,61.5,2840.3333333333335
-0.238172,5.559207,urban,Ghana,12.25,47.5,2848.2
-0.237462,6.083868,urban,Ghana,-68.75,-79.25,2516.0
-0.236346,8.0112,rural,Ghana,-133.85714285714286,-129.28571428571428,2202.5714285714284
-0.232615,6.887179,rural,Ghana,-128.0,-47.625,2384.4545454545455
-0.231829,11.049629,urban,Ghana,-72.125,-141.625,2284.5
-0.226009,5.605954,urban,Ghana,64.0,40.0,3542.0
-0.225328,5.656948,urban,Ghana,58.333333333333336,96.33333333333333,2884.6
-0.22508,10.511629,rural,Ghana,-100.53333333333333,-110.93333333333334,2023.5333333333333
-0.223934,5.59396,urban,Ghana,0.3333333333333333,90.33333333333333,3302.0
-0.217253,5.548626,urban,Ghana,-153.875,-135.875,2807.2
-0.215002,9.925924,urban,Ghana,-182.22222222222223,-153.11111111111111,2171.818181818182
-0.212773,5.944213,rural,Ghana,-56.0,-71.5,2033.5
-0.211581,5.578471,urban,Ghana,15.5,63.75,3132.8
-0.208519,5.540705,urban,Ghana,-76.0,-48.75,3937.5
-0.205406,5.694414,urban,Ghana,-35.25,27.0,2697.3333333333335
-0.203981,8.47173,rural,Ghana,-166.22727272727272,-105.18181818181819,2248.5
-0.194089,5.594471,urban,Ghana,81.0,98.0,2066.0
-0.190803,10.970069,rural,Ghana,-157.0,-128.33333333333334,2286.0
-0.189446,5.587754,urban,Ghana,21.8,55.0,3180.285714285714
-0.179891,5.576186,urban,Ghana,-39.0,-25.5,3112.5
-0.177975,5.678378,urban,Ghana,5.5,-5.0,3057.3333333333335
-0.171512,5.628638,urban,Ghana,-50.333333333333336,-15.166666666666666,3087.5
-0.162382,5.564213,urban,Ghana,,,
-0.151667,5.592808,urban,Ghana,36.4,-21.0,2949.4
-0.151343,5.567143,urban,Ghana,-51.5,-71.125,2212.4444444444443
-0.145988,5.74859,rural,Ghana,42.0,70.66666666666667,2774.2
-0.142805,9.578506,rural,Ghana,-78.53846153846153,-113.23076923076923,2127.153846153846
